Pekerjaan,Status Pernikahan,Produk,Sub Produk,Plafond,Jangka Waktu,Hasil Prescreening SLIK,Hasil Prescreening SIPKUR,Hasil Prescreening Dukcapil,Hasil Prescreening DHNBI,Hasil Prescreening,Status Aplikasi,Kolektabilitas,Usia
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,102000000.0,60,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,48
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,90000000.0,60,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,28
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,24300000.0,10,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,25
Pelajar/Mahasiswa,Kawin,Konsumer,Kredit Multi Guna,50000000.0,60,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,31
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,255900000.0,117,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,50
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,24500000.0,10,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,41
Lain-Lain,Belum Kawin,Konsumer,Kredit Multi Guna,28800000.0,10,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,28
Lain-Lain,Belum Kawin,Konsumer,Kredit Multi Guna,20000000.0,10,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,22
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,92000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,39
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,250000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,38
"Perhotelan & restoran (Koki,Bartender, dsb)",Kawin,Konsumer,Kredit Multi Guna,765500000.0,142,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,46
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,160000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,41
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,239000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,51
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,60000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,29
Lain-Lain,Belum Kawin,Konsumer,Kredit Multi Guna,32993000.0,10,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,27
Lain-Lain,Kawin,Konsumer,Kredit Pemilikan Rumah,179000000.0,180,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,34
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Pemilikan Rumah,198470000.0,180,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,26
Wiraswasta,Kawin,Konsumer,Kredit Multi Guna,276500000.0,132,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,29
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,152700000.0,78,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,50
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,305500000.0,168,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,32
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,292800000.0,176,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,43
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,310000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,53
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,355000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,27
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,410900000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,41
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,320000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,44
Lain-Lain,Kawin,Konsumer,Kredit Pemilikan Rumah,402269591.0,150,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,112500000.0,120,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,28
Eksekutif,Kawin,Konsumer,Kredit Multi Guna,50000000.0,156,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,32
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,214000000.0,119,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,65
Pengamanan,Kawin,Konsumer,Kredit Multi Guna,617000000.0,120,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,46
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,200000000.0,108,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,41
Administrasi umum,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,246840000.0,180,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,25
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,500000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,44
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,50000000.0,36,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,54
"Transportasi darat (masinis, sopir,kondektur)",Cerai,Konsumer,Kredit Multi Guna,235900000.0,180,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,34
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,600000000.0,84,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,36
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,80000000.0,48,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,39
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,100000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,54
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,141000000.0,48,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,56
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,200000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,35
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,200000000.0,168,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,43
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,300000000.0,192,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,38
Administrasi umum,Cerai,Konsumer,Kredit Multi Guna,22000000.0,9,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,48
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,172000000.0,63,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,53
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,108000000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,29
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,100000000.0,80,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,62
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,156000000.0,60,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,45
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,61000000.0,48,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,40
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,102000000.0,60,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,30
Pengamanan,Kawin,Konsumer,Kredit Multi Guna,120000000.0,60,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,52
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,100000000.0,36,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,29
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,398000000.0,168,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,44
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,243000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,40
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,174000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,39
Lain-Lain,Belum Kawin,Konsumer,Kredit Multi Guna,128000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,32
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,60000000.0,48,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,44
Pensiunan,Cerai,Konsumer,Kredit Multi Guna,105700000.0,48,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,64
Lain-Lain,Kawin,Konsumer,Kredit Pemilikan Rumah,50000000.0,156,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,30
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,50000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,27
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,17500000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,53
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,135000000.0,84,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,48
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,756300000.0,168,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,33
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,1163000000.0,240,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,30
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,22280000.0,9,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,44
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,126000000.0,120,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,41
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,305000000.0,156,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,44
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,50000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,45
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,200000000.0,50,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,56
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,140000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,45
Lain-Lain,Kawin,Mikro,Mikro Non - Kredit Usaha Rakyat,1914000.0,12,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,35
Eksekutif,Belum Kawin,Konsumer,Kredit Multi Guna,250000000.0,216,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,39
Lain-Lain,Kawin,Mikro,Mikro Non - Kredit Usaha Rakyat,3049000.0,12,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,30
Eksekutif,Belum Kawin,Konsumer,Kredit Multi Guna,400000000.0,84,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,27
Wiraswasta,Kawin,Konsumer,Kredit Multi Guna,24500000.0,10,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,39
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,205000000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,29
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,313963130.0,70,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,47
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,415000000.0,180,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,29
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,910000000.0,92,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,50
Pengamanan,Kawin,Konsumer,Kredit Multi Guna,12000000.0,9,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,50
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,290000000.0,139,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,46
Lain-Lain,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,179000000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,21
Eksekutif,Kawin,Konsumer,Kredit Multi Guna,1010000000.0,164,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,44
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,780000000.0,204,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,39
Wiraswasta,Kawin,Konsumer,Kredit Pemilikan Rumah,179150000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,25
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,86000000.0,57,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,51
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,525000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,500000000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,39
"Hukum (Pengacara, Notaris)",Kawin,Konsumer,Kredit Pemilikan Rumah,140500000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,27
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,381000000.0,168,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,42
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,217000000.0,96,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,51
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,110000000.0,60,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,59
Pengamanan,Kawin,Konsumer,Kredit Multi Guna,198300000.0,120,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,45
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,233000000.0,59,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,53
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,105000000.0,36,Medium,Tidak Terdaftar KUR,Tidak Sesuai,Tidak,Tidak Lolos,Reject,Lancar,45
Lain-Lain,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,335412000.0,204,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,29
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,84000000.0,33,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,55
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,250000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,49
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,438000000.0,104,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,51
Marketing,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,179000000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,21
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,718000000.0,198,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,41
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,153000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,31
Lain-Lain,Belum Kawin,Mikro,Mikro Kredit Usaha Rakyat,15000000.0,24,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,26
Dokter,Kawin,Konsumer,Kredit Multi Guna,783000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,31
Wiraswasta,Belum Kawin,Mikro,Mikro Kredit Usaha Rakyat,500000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,24
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,350000000.0,60,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,42
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,100000000.0,60,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,51
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,12000000.0,11,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,39
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,210000000.0,48,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,39
Pengamanan,Kawin,Konsumer,Kredit Multi Guna,230000000.0,81,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,53
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,94300000.0,60,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,37
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,200000000.0,84,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,52
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,196000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,55
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,90000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,37
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,104600000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,40
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,100000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,40
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,17100000.0,11,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,45
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,90000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,39
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,25000000.0,24,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,31
Lain-Lain,Belum Kawin,Konsumer,Kredit Multi Guna,47900000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,34
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,250000000.0,60,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,60
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,24000000.0,10,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,29
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,267000000.0,120,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,47
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,500000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,45
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,537000000.0,180,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,29
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,112000000.0,120,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,26
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,24000000.0,10,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,45
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,527000000.0,52,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,54
Administrasi umum,Belum Kawin,Konsumer,Kredit Multi Guna,163000000.0,84,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,39
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,150000000.0,48,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,34
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,128000000.0,44,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,54
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,12900000.0,8,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,45
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,210000000.0,48,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,46
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,280500000.0,79,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,53
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,300000000.0,121,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,30
Lain-Lain,Kawin,Konsumer,Kredit Pemilikan Rumah,162320000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,39
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,180000000.0,36,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,34
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,344200000.0,180,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,27
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,382000000.0,96,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,52
Pelajar/Mahasiswa,Kawin,Konsumer,Kredit Multi Guna,33000000.0,24,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,45
Eksekutif,Cerai,Konsumer,Kredit Multi Guna,210000000.0,180,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,40
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,190000000.0,121,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,31
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,40000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,142700000.0,160,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,45
Militer,Kawin,Konsumer,Kredit Multi Guna,174000000.0,109,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,61
Lain-Lain,Belum Kawin,Konsumer,Kredit Multi Guna,30000000.0,24,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,31
